users,pair,weight
true_solidarity,infowars-usa,1
true_solidarity,infowars-manmadeclouds,3
true_solidarity,infowars-truth,2
true_solidarity,infowars-nsa,3
true_solidarity,infowars-revolution,2
true_solidarity,infowars-lookup,1
true_solidarity,infowars-science,4
true_solidarity,infowars-tech,4
true_solidarity,infowars-srm,4
true_solidarity,infowars-solar,1
true_solidarity,infowars-usaf,1
true_solidarity,snow-sun,2
true_solidarity,snow-sunset,3
true_solidarity,snow-uk,3
true_solidarity,snow-weathermanipulation,1
true_solidarity,snow-weather,5
true_solidarity,snow-snowden,1
true_solidarity,snow-weathermodification,5
true_solidarity,snow-usa,1
true_solidarity,snow-truth,2
true_solidarity,snow-tech,5
true_solidarity,snow-srm,6
true_solidarity,snow-solar,1
true_solidarity,snow-usaf,1
true_solidarity,aspartame-chemtrails,5
true_solidarity,aspartame-sun,2
true_solidarity,aspartame-sunset,3
true_solidarity,aspartame-geoengineering,5
true_solidarity,aspartame-climatechange,5
true_solidarity,aspartame-haarp,5
true_solidarity,aspartame-nexrad,1
true_solidarity,aspartame-uk,3
true_solidarity,aspartame-weathermanipulation,1
true_solidarity,aspartame-weather,5
true_solidarity,aspartame-nasa,2
true_solidarity,aspartame-nwo,5
true_solidarity,aspartame-obama,2
true_solidarity,aspartame-bilderberg,2
true_solidarity,aspartame-drought,1
true_solidarity,aspartame-poison,1
true_solidarity,aspartame-news,1
true_solidarity,aspartame-monsanto,1
true_solidarity,aspartame-gmo,3
true_solidarity,aspartame-infowars,4
true_solidarity,aspartame-snow,5
true_solidarity,aspartame-fluoride,5
true_solidarity,aspartame-snowden,1
true_solidarity,aspartame-climate,5
true_solidarity,aspartame-globalwarming,2
true_solidarity,aspartame-weathermodification,5
true_solidarity,aspartame-clouds,1
true_solidarity,aspartame-energy,4
true_solidarity,aspartame-cia,4
true_solidarity,aspartame-usa,1
true_solidarity,aspartame-conspiracy,1
true_solidarity,aspartame-manmadeclouds,3
true_solidarity,aspartame-green,1
true_solidarity,aspartame-truth,2
true_solidarity,aspartame-nsa,3
true_solidarity,aspartame-revolution,2
true_solidarity,aspartame-government,1
true_solidarity,aspartame-fracking,4
true_solidarity,aspartame-lookup,1
true_solidarity,aspartame-science,5
true_solidarity,aspartame-tech,5
true_solidarity,aspartame-srm,5
true_solidarity,aspartame-solar,1
true_solidarity,aspartame-contrails,5
true_solidarity,aspartame-chemtrail,2
true_solidarity,aspartame-usaf,1
true_solidarity,aspartame-illuminati,1
true_solidarity,aspartame-greatlakes,2
true_solidarity,aspartame-depopulation,1
true_solidarity,aspartame-fukushima,1
true_solidarity,fluoride-sun,2
true_solidarity,fluoride-sunset,3
true_solidarity,fluoride-geoengineering,5
true_solidarity,fluoride-haarp,5
true_solidarity,fluoride-nexrad,1
true_solidarity,fluoride-uk,3
true_solidarity,fluoride-weathermanipulation,1
true_solidarity,fluoride-weather,5
true_solidarity,fluoride-nasa,2
true_solidarity,fluoride-nwo,5
true_solidarity,fluoride-obama,2
true_solidarity,fluoride-poison,1
true_solidarity,fluoride-news,1
true_solidarity,fluoride-monsanto,1
true_solidarity,fluoride-gmo,3
true_solidarity,fluoride-infowars,4
true_solidarity,fluoride-snow,5
true_solidarity,fluoride-snowden,1
true_solidarity,fluoride-globalwarming,2
true_solidarity,fluoride-weathermodification,5
true_solidarity,fluoride-usa,1
true_solidarity,fluoride-manmadeclouds,3
true_solidarity,fluoride-green,1
true_solidarity,fluoride-truth,2
true_solidarity,fluoride-nsa,3
true_solidarity,fluoride-revolution,2
true_solidarity,fluoride-government,1
true_solidarity,fluoride-fracking,4
true_solidarity,fluoride-lookup,1
true_solidarity,fluoride-science,5
true_solidarity,fluoride-tech,5
true_solidarity,fluoride-srm,5
true_solidarity,fluoride-solar,1
true_solidarity,fluoride-usaf,1
true_solidarity,fluoride-illuminati,1
true_solidarity,fluoride-greatlakes,2
true_solidarity,fluoride-fukushima,1
true_solidarity,snowden-sun,1
true_solidarity,snowden-sunset,1
true_solidarity,snowden-uk,1
true_solidarity,snowden-weathermanipulation,1
true_solidarity,snowden-weather,1
true_solidarity,snowden-weathermodification,1
true_solidarity,snowden-usa,1
true_solidarity,snowden-truth,1
true_solidarity,snowden-tech,1
true_solidarity,snowden-srm,1
true_solidarity,snowden-solar,1
true_solidarity,snowden-usaf,1
true_solidarity,climate-sun,2
true_solidarity,climate-sunset,3
true_solidarity,climate-geoengineering,11
true_solidarity,climate-climatechange,11
true_solidarity,climate-haarp,11
true_solidarity,climate-nexrad,1
true_solidarity,climate-uk,3
true_solidarity,climate-weathermanipulation,1
true_solidarity,climate-weather,5
true_solidarity,climate-nasa,2
true_solidarity,climate-nwo,11
true_solidarity,climate-obama,2
true_solidarity,climate-drought,1
true_solidarity,climate-poison,1
true_solidarity,climate-news,1
true_solidarity,climate-monsanto,1
true_solidarity,climate-gmo,3
true_solidarity,climate-infowars,4
true_solidarity,climate-snow,6
true_solidarity,climate-fluoride,5
true_solidarity,climate-snowden,1
true_solidarity,climate-globalwarming,2
true_solidarity,climate-weathermodification,5
true_solidarity,climate-clouds,1
true_solidarity,climate-energy,4
true_solidarity,climate-usa,1
true_solidarity,climate-conspiracy,1
true_solidarity,climate-manmadeclouds,3
true_solidarity,climate-green,1
true_solidarity,climate-truth,2
true_solidarity,climate-nsa,3
true_solidarity,climate-revolution,2
true_solidarity,climate-government,1
true_solidarity,climate-fracking,4
true_solidarity,climate-lookup,1
true_solidarity,climate-science,5
true_solidarity,climate-tech,5
true_solidarity,climate-srm,11
true_solidarity,climate-solar,1
true_solidarity,climate-contrails,9
true_solidarity,climate-usaf,1
true_solidarity,climate-illuminati,1
true_solidarity,climate-greatlakes,2
true_solidarity,climate-depopulation,1
true_solidarity,climate-fukushima,1
true_solidarity,globalwarming-sun,2
true_solidarity,globalwarming-sunset,2
true_solidarity,globalwarming-haarp,2
true_solidarity,globalwarming-nexrad,1
true_solidarity,globalwarming-uk,2
true_solidarity,globalwarming-weathermanipulation,1
true_solidarity,globalwarming-weather,2
true_solidarity,globalwarming-nasa,2
true_solidarity,globalwarming-nwo,2
true_solidarity,globalwarming-obama,2
true_solidarity,globalwarming-poison,1
true_solidarity,globalwarming-news,1
true_solidarity,globalwarming-monsanto,1
true_solidarity,globalwarming-gmo,2
true_solidarity,globalwarming-infowars,2
true_solidarity,globalwarming-snow,2
true_solidarity,globalwarming-snowden,1
true_solidarity,globalwarming-weathermodification,2
true_solidarity,globalwarming-usa,1
true_solidarity,globalwarming-manmadeclouds,2
true_solidarity,globalwarming-green,1
true_solidarity,globalwarming-truth,2
true_solidarity,globalwarming-nsa,2
true_solidarity,globalwarming-revolution,2
true_solidarity,globalwarming-government,1
true_solidarity,globalwarming-lookup,1
true_solidarity,globalwarming-science,2
true_solidarity,globalwarming-tech,2
true_solidarity,globalwarming-srm,2
true_solidarity,globalwarming-solar,1
true_solidarity,globalwarming-usaf,1
true_solidarity,globalwarming-illuminati,1
true_solidarity,globalwarming-greatlakes,2
true_solidarity,clouds-sun,1
true_solidarity,clouds-sunset,1
true_solidarity,clouds-geoengineering,1
true_solidarity,clouds-haarp,1
