users;pair;weight
skywatchmap;wakeup-weathermodification;5
skywatchmap;wakeup-weathermanipulation;4
skywatchmap;weather-weathermodification;2
skywatchmap;weather-weathermanipulation;2
skywatchmap;chemhaze-chemtrails;4
skywatchmap;chemhaze-geoengineering;4
skywatchmap;chemhaze-chemtrail;4
skywatchmap;chemhaze-wakeup;4
skywatchmap;chemhaze-weather;2
skywatchmap;chemhaze-nexrad;4
skywatchmap;chemhaze-haarp;4
skywatchmap;chemhaze-truth;2
skywatchmap;chemhaze-sky;4
skywatchmap;chemhaze-contrails;1
skywatchmap;chemhaze-nwo;3
skywatchmap;chemhaze-illuminati;2
skywatchmap;chemhaze-climatechange;3
skywatchmap;chemhaze-clouds;3
skywatchmap;chemhaze-lookup;4
skywatchmap;chemhaze-government;1
skywatchmap;chemhaze-weathermodification;4
skywatchmap;chemhaze-sheeple;1
skywatchmap;chemhaze-conspiracy;1
skywatchmap;chemhaze-weathermanipulation;4
skywatchmap;chemhaze-horwich;1
skywatchmap;chemhaze-england;1
skywatchmap;nexrad-wakeup;9
skywatchmap;nexrad-weather;2
skywatchmap;nexrad-truth;2
skywatchmap;nexrad-sky;8
skywatchmap;nexrad-nwo;3
